Festival;year;Notes;Stage name;Main genre;genres on Spotify
Reading;2005;;Iron Maiden;metal;album rock,classic rock,hard rock,metal,nwobhm,rock
download;2010;;AC/DC;rock;album rock,classic rock,hard rock,heavy christmas,rock
Isle of Wight;2016;;Queen with Adam Lambert;rock;#N/A
download;2009;;Def Leppard;rock;album rock,classic rock,glam metal,hard rock,metal,rock
download;2011;;Def Leppard;rock;album rock,classic rock,glam metal,hard rock,metal,rock
download;2008;;KISS;rock;album rock,classic rock,glam metal,glam rock,hard rock,metal,rock
download;2015;;KISS;rock;album rock,classic rock,glam metal,glam rock,hard rock,metal,rock
bestival;2013;;elton john;pop rock;album rock,classic rock,folk christmas,glam rock,mellow gold,piano rock,rock,singer-songwriter,soft rock
Isle of Wight;2014;;Billy Idol;punk;album rock,classic rock,dance rock,glam metal,hard rock,heavy christmas,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop
rewind;2014;;billy ocean;soul;album rock,classic funk rock,dance pop,dance rock,disco,europop,mellow gold,motown,new romantic,new wave,new wave pop,quiet storm,soft rock
cornbury festival;2007;;blondie;rock;album rock,candy pop,classic rock,dance pop,dance rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,punk,rock,soft rock,synthpop
cornbury festival;2017;;Bryan Adams;rock;album rock,canadian pop,hard rock,mellow gold,rock,soft rock
Isle of Wight;2003;;Bryan Adams;rock;album rock,canadian pop,hard rock,mellow gold,rock,soft rock
Glastonbury;2013;;The Rolling Stones;rock;album rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,singer-songwriter
Isle of Wight;2007;;The Rolling Stones;rock;album rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,singer-songwriter
Isle of Wight;2015;;Fleetwood Mac;rock;album rock,british blues,classic rock,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock
cornbury festival;2008;;paul simon;rock;album rock,brill building pop,classic rock,folk,folk christmas,folk rock,folk-pop,mellow gold,neo mellow,permanent wave,pop rock,rock,roots rock,singer-songwriter,soft rock,soul,traditional folk
Glastonbury;2009;;Neil Young;rock;album rock,blues-rock,classic rock,mellow gold,permanent wave,protopunk,psychedelic rock,rock,roots rock,singer-songwriter,soft rock
Isle of Wight;2009;;Neil Young;rock;album rock,blues-rock,classic rock,mellow gold,permanent wave,protopunk,psychedelic rock,rock,roots rock,singer-songwriter,soft rock
Glastonbury;1982;;van morrison;rock;album rock,blues-rock,classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,soul
Glastonbury;1987;;van morrison;rock;album rock,blues-rock,classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,soul
Glastonbury;1989;;van morrison;rock;album rock,blues-rock,classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,soul
cornbury festival;2011;;status quo;rock;album rock,blues-rock,british blues,classic rock,glam rock,hard rock,heavy christmas,mellow gold,rock,soft rock,southern rock
cornbury festival;2005;;joe cocker;rock;album rock,blues-rock,british blues,classic rock,electric blues,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock
Glastonbury;1985;;joe cocker;rock;album rock,blues-rock,british blues,classic rock,electric blues,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock
cornbury festival;2015;;roger hodgson;rock;album rock,art rock,mellow gold,progressive rock,soft rock,symphonic rock
Glastonbury;1979;;peter gabriel;rock;album rock,art rock,dance rock,mellow gold,new romantic,new wave,permanent wave,progressive rock,rock,singer-songwriter,soft rock,symphonic rock
Glastonbury;1994;;peter gabriel;rock;album rock,art rock,dance rock,mellow gold,new romantic,new wave,permanent wave,progressive rock,rock,singer-songwriter,soft rock,symphonic rock
bestival;2015;;duran duran;new wave;album rock,art rock,dance pop,dance rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock,synthpop
lovebox;2009;;duran duran;new wave;album rock,art rock,dance pop,dance rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock,synthpop
Glastonbury;2004;;Paul McCartney;rock;album rock,art rock,classic rock,folk rock,mellow gold,pop christmas,rock,roots rock,singer-songwriter,soft rock
Isle of Wight;2010;;Paul McCartney;rock;album rock,art rock,classic rock,folk rock,mellow gold,pop christmas,rock,roots rock,singer-songwriter,soft rock
Isle of Wight;2008;;The Police;rock;album rock,art rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,rock,soft rock
lovebox;2010;;roxy music;rock;album rock,art rock,classic rock,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,post-punk,protopunk,rock,singer-songwriter,soft rock,synthpop,uk post-punk
cornbury festival;2017;;pretenders;rock;album rock,art rock,classic rock,dance rock,folk christmas,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,rock,roots rock,singer-songwriter,soft rock,synthpop
Glastonbury;1971;;David Bowie;pop;album rock,art rock,classic funk rock,classic rock,dance rock,glam rock,mellow gold,new wave,permanent wave,pop christmas,protopunk,rock,singer-songwriter,soft rock
Glastonbury;2000;;David Bowie;pop;album rock,art rock,classic funk rock,classic rock,dance rock,glam rock,mellow gold,new wave,permanent wave,pop christmas,protopunk,rock,singer-songwriter,soft rock
Isle of Wight;2004;;David Bowie;pop;album rock,art rock,classic funk rock,classic rock,dance rock,glam rock,mellow gold,new wave,permanent wave,pop christmas,protopunk,rock,singer-songwriter,soft rock
cornbury festival;2010;;jackson browne;rock;album rock,art rock,blues-rock,classic rock,country rock,folk,folk christmas,folk rock,folk-pop,hard rock,lilith,mellow gold,piano rock,pop rock,rock,rock-and-roll,rockabilly,roots rock,singer-songwriter,soft rock,southern rock,traditional folk
Glastonbury;1982;;jackson browne;rock;album rock,art rock,blues-rock,classic rock,country rock,folk,folk christmas,folk rock,folk-pop,hard rock,lilith,mellow gold,piano rock,pop rock,rock,rock-and-roll,rockabilly,roots rock,singer-songwriter,soft rock,southern rock,traditional folk
Glastonbury;2007;;The Who;rock;album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock
Glastonbury;2015;;The Who;rock;album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock
Isle of Wight;2004;;The Who;rock;album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock
Isle of Wight;2016;;The Who;rock;album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock
t in the park;2006;;The Who;rock;album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock
Wireless;2006;;The Who;rock;album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock
Glastonbury;1981;;hawkwind;rock;album rock,art rock,blues-rock,british blues,classic rock,experimental,experimental rock,hard rock,kraut rock,neo-psychedelic,progressive rock,protopunk,psychedelic rock,pub rock,rock,space rock,stoner rock,symphonic rock
cornbury festival;2006;;robert plant;rock;album rock,art rock,blues-rock,british blues,classic rock,electric blues,folk rock,hard rock,mellow gold,progressive rock,rock,roots rock,singer-songwriter,soft rock,symphonic rock
Glastonbury;1970;;T. rex;rock;album rock,art rock,blues-rock,british blues,britpop,classic rock,dance rock,folk rock,garage rock,glam rock,hard rock,heavy christmas,new wave,protopunk,psychedelic rock,punk,rock,singer-songwriter
download;2010;;Aerosmith;rock;album rock,alternative rock,classic rock,hard rock,mellow gold,rock
download;2014;;Aerosmith;rock;album rock,alternative rock,classic rock,hard rock,mellow gold,rock
download;2017;;Aerosmith;rock;album rock,alternative rock,classic rock,hard rock,mellow gold,rock
download;2006;;Guns N' Roses;rock;album rock,alternative rock,classic rock,glam metal,hard rock,rock
Reading;2010;;Guns N' Roses;rock;album rock,alternative rock,classic rock,glam metal,hard rock,rock
